,SubID,TrialType,RT,ACC
968,18,incongruent,381,1
969,18,congruent,508,1
970,18,incongruent,514,1
971,18,congruent,420,1
972,18,congruent,466,1
973,18,incongruent,584,1
974,18,incongruent,471,1
975,18,congruent,448,1
976,18,congruent,340,1
977,18,incongruent,538,1
978,18,congruent,424,1
979,18,congruent,415,1
980,18,incongruent,554,1
981,18,incongruent,420,1
982,18,incongruent,538,1
983,18,congruent,401,1
984,18,incongruent,569,1
985,18,congruent,429,1
986,18,incongruent,623,1
987,18,incongruent,382,1
988,18,congruent,380,1
989,18,congruent,426,1
990,18,congruent,416,1
991,18,incongruent,430,1
992,18,congruent,431,1
993,18,incongruent,464,1
994,18,incongruent,423,1
995,18,congruent,429,1
996,18,congruent,430,1
997,18,incongruent,543,1
998,18,incongruent,614,1
999,18,congruent,453,1
1000,18,congruent,371,1
1001,18,incongruent,446,1
1002,18,congruent,426,1
1003,18,incongruent,841,1
1004,18,congruent,379,1
1005,18,incongruent,473,1
1006,18,congruent,442,1
1007,18,incongruent,389,1
1008,18,incongruent,454,1
1009,18,congruent,361,1
1010,18,congruent,373,1
1011,18,incongruent,512,1
1012,18,congruent,481,1
1013,18,incongruent,573,1
1014,18,congruent,396,1
1015,18,congruent,469,1
1016,18,incongruent,534,1
1017,18,incongruent,434,1
1018,18,congruent,443,1
1019,18,incongruent,446,1
1020,19,incongruent,1061,1
1021,19,incongruent,696,1
1022,19,congruent,624,1
1023,19,congruent,423,1
1024,19,congruent,565,1
1025,19,incongruent,761,1
1026,19,incongruent,702,1
1027,19,congruent,493,1
1028,19,incongruent,609,1
1029,19,congruent,493,1
1030,19,incongruent,681,1
1031,19,congruent,451,1
1032,19,congruent,615,1
1033,19,congruent,462,1
1034,19,incongruent,684,1
1035,19,incongruent,640,1
1036,19,incongruent,621,1
1037,19,congruent,1852,1
1038,19,incongruent,816,1
1039,19,congruent,567,1
1040,19,congruent,683,1
1041,19,congruent,528,1
1042,19,incongruent,748,1
1043,19,incongruent,566,1
1044,19,incongruent,874,1
1045,19,incongruent,597,1
1046,19,congruent,638,1
1047,19,congruent,560,1
1048,19,congruent,587,1
1049,19,incongruent,754,1
1050,19,congruent,396,1
1051,19,incongruent,741,1
1052,19,congruent,540,1
1053,19,congruent,547,1
1054,19,incongruent,869,1
1055,19,incongruent,567,1
1056,19,congruent,475,1
1057,19,incongruent,1028,1
1058,19,incongruent,552,1
1059,19,congruent,529,1
1060,19,congruent,597,1
1061,19,incongruent,767,1
1062,19,congruent,675,1
1063,19,incongruent,957,1
1064,19,incongruent,1128,1
1065,19,congruent,494,1
1066,19,incongruent,765,1
1067,19,congruent,506,1
1068,19,incongruent,664,1
1069,19,incongruent,575,1
1070,19,congruent,622,1
1071,19,congruent,589,1
1072,19,congruent,519,1
1073,19,incongruent,1608,1
1074,19,incongruent,512,1
1075,19,congruent,473,1
1076,19,congruent,410,1
1077,19,congruent,438,1
1078,19,incongruent,775,1
1079,19,incongruent,1214,1
1080,19,congruent,536,1
1081,19,congruent,502,1
1082,19,incongruent,685,1
1083,19,incongruent,593,1
1084,19,incongruent,603,1
1085,19,congruent,511,1
1086,19,incongruent,672,1
1087,19,congruent,498,1
1088,19,congruent,673,1
1089,19,incongruent,1546,1
1090,19,incongruent,599,1
1091,19,congruent,513,1
1092,19,incongruent,698,1
